,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
11785,23/03/18 17.00,0,12.3,27.4,80.5,1008.7,0.2,0.8
11786,23/03/18 17.10,0.1,23.4,27.2,80.7,1008.7,0.2,1.3
11787,23/03/18 17.20,0,11.8,27.2,80.8,1008.8,0.2,1.4
11788,23/03/18 17.30,0,11.4,27.2,80.5,1008.6,0.2,0.9
11789,23/03/18 17.40,0.1,31.4,27.2,80.7,1008.5,0.2,0.5
11790,23/03/18 17.50,0.1,16.7,27.2,81.4,1008.2,0.2,1.7
11791,23/03/18 18.00,0.1,359.3,27.1,81.9,1008.2,0.2,2.6
11792,23/03/18 18.10,0,8.8,27,82.9,1008.1,0.2,1.5
11793,23/03/18 18.20,0,0,26.9,83.2,1008.2,0.2,1.5
11794,23/03/18 18.30,0,0,27.1,81.9,1008.2,0.2,1.3
11795,23/03/18 18.40,0,0,27.1,82.7,1008.1,0.2,1.4
11796,23/03/18 18.50,0,0,26.8,83.7,1008,0.2,0.5
11797,23/03/18 19.00,0,0,26.7,84.8,1008.1,0.2,2.1
11798,23/03/18 19.10,0,10.5,26.6,85.4,1008.1,0.2,0.9
11799,23/03/18 19.20,0,10.9,26.5,85.9,1008.1,0.2,1.2
11800,23/03/18 19.30,0,0,26.7,85.1,1008,0.2,1
11801,23/03/18 19.40,0,0,26.6,85.6,1008,0.2,1.2
11802,23/03/18 19.50,0,0,26.5,85.9,1007.9,0.2,1.7
11803,23/03/18 20.00,0,13.1,26.4,86.1,1007.8,0.2,0.7
11804,23/03/18 20.10,0.7,90.1,26.5,84.4,1007.8,0.2,1.3
11805,23/03/18 20.20,0.5,58.4,26.9,80.1,1007.8,0.2,1.3
11806,23/03/18 20.30,1.3,130.9,26.7,82.9,1007.9,0.2,1.5
11807,23/03/18 20.40,1.2,107.2,26.4,85.1,1007.9,0.2,1.3
11808,23/03/18 20.50,0.4,54.1,26.2,86.1,1007.9,0.2,1.7
11809,23/03/18 21.00,0.3,59.4,26.1,87.1,1007.9,0.2,1
11810,23/03/18 21.10,0.2,36,26,87.6,1008.1,0.2,0.8
11811,23/03/18 21.20,0.7,103.4,25.9,87.6,1008.1,0.2,0.8
11812,23/03/18 21.30,0.7,88.7,25.9,87.1,1008.4,0.2,1.4
11813,23/03/18 21.40,1,139.8,25.9,87.8,1008.6,0.2,2.3
11814,23/03/18 21.50,0.9,108.2,25.9,88.5,1008.9,0.2,0.3
11815,23/03/18 22.00,0.8,73,26,88.9,1009.1,0.2,1.3
11816,23/03/18 22.10,0.7,68.1,25.9,89.4,1009.1,0.2,1.3
11817,23/03/18 22.20,0.7,95.6,25.8,89.8,1008.9,0.2,0.8
11818,23/03/18 22.30,0.3,49.6,25.7,90.1,1008.8,0.2,0.5
11819,23/03/18 22.40,0.3,90.7,25.6,90.5,1008.8,0.2,1.7
11820,23/03/18 22.50,0.6,94.4,25.6,90.2,1009,0.2,1.2
11821,23/03/18 23.00,0.4,34.1,25.7,90.2,1009.1,0.2,2.1
11822,23/03/18 23.10,0.5,57.9,25.7,90,1009.3,0.2,5.5
11823,23/03/18 23.20,0.4,43.3,25.7,89.4,1009.6,0.2,10.6
11824,23/03/18 23.30,0.4,87.8,25.8,88.5,1009.7,0.2,20.3
11825,23/03/18 23.40,0.7,90.9,25.9,87.4,1009.6,0.2,36.5
11826,23/03/18 23.50,1.3,115.8,26.1,86,1009.9,0.2,51.3
11827,24/03/18 00.00,0.9,109.3,26.4,84.3,1010,0,70.1
11828,24/03/18 00.10,0.8,94.4,26.7,83.2,1010.1,0,64.4
11829,24/03/18 00.20,0.9,105.6,26.9,81.8,1010.3,0,69
11830,24/03/18 00.30,1.2,102.1,26.9,80.7,1010.7,0,56
11831,24/03/18 00.40,0.6,53.8,27.05,80.6,1010.8,0,59.55
11832,24/03/18 00.50,0,5.5,27.2,80.5,1010.9,0,63.1
11833,24/03/18 01.00,0.1,358.1,27.3,79.6,1011.2,0,69.5
11834,24/03/18 01.10,0.1,344.1,27.45,78.8,1011.3,0,87.45
